<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 10:42:26	31,1	24,1	12,3	7,4	5,0	16,7	30,3	26,7	10,8	27,7	5,8	4,0
14.08.2025 10:42:32	6,1	6,1	6,1	6,0	5,3	0,1	4,9	4,9	4,9	4,9	4,8	4,3
14.08.2025 10:42:38	41,5	22,9	11,9	7,0	5,0	15,9	35,6	27,4	10,2	25,4	5,5	4,0
14.08.2025 10:42:44	52,8	33,8	16,2	10,2	5,9	23,6	46,1	37,6	13,3	38,4	8,0	4,7
14.08.2025 10:42:50	22,8	22,7	19,3	11,2	5,2	11,5	19,0	18,9	15,3	19,0	8,7	4,2
14.08.2025 10:42:56	21,5	18,2	8,8	6,7	4,8	11,5	22,2	20,0	8,0	21,9	5,3	3,9
14.08.2025 10:43:02	16,4	15,9	11,7	7,9	4,9	8,1	15,1	14,6	9,5	15,1	6,2	4,0
14.08.2025 10:43:08	35,7	27,3	12,7	7,2	5,3	20,1	35,0	30,6	11,4	32,3	5,7	4,3
14.08.2025 10:43:14	16,2	16,2	12,4	7,2	4,8	8,9	13,4	13,3	9,8	13,4	5,7	3,9
14.08.2025 10:43:20	44,0	24,5	14,3	7,9	4,7	16,6	35,7	27,4	11,8	25,5	6,2	3,8
14.08.2025 10:43:26	33,9	25,3	11,2	7,6	5,5	17,7	32,4	27,9	9,6	29,7	6,0	4,4
14.08.2025 10:43:32	68,9	26,3	19,2	10,5	5,3	15,8	48,9	31,2	15,0	23,8	8,2	4,3
14.08.2025 10:43:38	16,0	16,0	13,1	7,9	4,9	8,2	14,3	14,2	10,9	14,3	6,2	4,0
14.08.2025 10:43:44	23,7	23,2	16,3	9,3	5,5	13,9	22,3	21,7	13,5	22,3	7,3	4,5
14.08.2025 10:43:50	34,0	27,4	16,5	9,4	5,8	18,0	29,7	26,5	13,2	27,1	7,3	4,7
14.08.2025 10:43:56	48,8	24,2	11,0	6,9	5,2	17,3	40,9	30,4	9,5	28,1	5,5	4,2
14.08.2025 10:44:02	199,8	10,2	8,4	6,9	5,8	3,3	104,0	26,6	7,5	10,2	5,5	4,7
14.08.2025 10:44:08	51,5	29,5	10,9	7,3	5,8	22,2	47,5	37,2	10,0	37,1	5,8	4,7
14.08.2025 10:44:14	22,1	20,0	12,3	8,0	5,5	12,1	21,1	19,6	10,1	21,0	6,3	4,4
14.08.2025 10:44:20	88,5	28,6	17,7	9,9	5,7	18,7	64,5	40,0	14,9	29,2	7,8	4,6
14.08.2025 10:44:26	17,2	16,8	12,5	8,7	5,5	8,1	16,4	15,9	10,4	16,4	6,9	4,5
14.08.2025 10:44:32	18,3	17,5	12,1	8,2	5,3	9,4	17,0	16,2	9,7	17,0	6,4	4,3
14.08.2025 10:44:38	31,6	23,4	11,8	7,9	5,0	15,5	28,5	24,4	9,6	25,8	6,2	4,0
14.08.2025 10:44:44	74,9	35,8	17,0	9,2	5,7	26,6	60,5	43,7	14,1	39,9	7,2	4,6
14.08.2025 10:44:50	40,4	22,5	16,3	10,2	5,9	12,3	31,1	23,7	12,8	20,9	8,0	4,8
14.08.2025 10:44:56	28,8	28,6	22,7	11,2	5,0	17,5	24,5	24,3	18,1	24,5	8,7	4,0
14.08.2025 10:45:02	114,8	17,9	11,7	7,1	5,0	10,8	69,6	28,9	9,4	17,5	5,6	4,1
14.08.2025 10:45:08	40,6	22,7	17,2	11,1	5,9	11,6	30,8	23,5	13,6	20,7	8,6	4,8
14.08.2025 10:45:14	15,9	15,9	13,0	8,3	5,8	7,5	13,9	13,8	10,6	13,9	6,6	4,7
